Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
xsec-11,,832144.665,9997442.424,3781.743,floodplain,-78.01645787,-0.02310761,3781.743,0.013,0.012,0.028,0.018,2.164,m,FIX,2023-06-18 12:33:51.0 UTC-05:00,2023-06-18 12:34:01.0 UTC-05:00,11,1.3,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.348,WGS 84 / UTM zone 17S
xsec-12,,832145.094,9997442.379,3781.462,floodplain,-78.01645402,-0.02310802,3781.462,0.011,0.011,0.017,0.015,2.164,m,FIX,2023-06-18 12:34:39.0 UTC-05:00,2023-06-18 12:34:49.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.529,WGS 84 / UTM zone 17S
xsec-13,,832145.177,9997442.440,3781.180,right water edge/bank,-78.01645327,-0.02310747,3781.180,0.010,0.010,0.013,0.015,2.164,m,FIX,2023-06-18 12:36:04.0 UTC-05:00,2023-06-18 12:36:14.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.636,WGS 84 / UTM zone 17S
xsec-14,,832145.241,9997442.390,3780.911,just into water,-78.01645270,-0.02310793,3780.911,0.010,0.011,0.020,0.015,2.164,m,FIX,2023-06-18 12:37:12.0 UTC-05:00,2023-06-18 12:37:22.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.635,WGS 84 / UTM zone 17S
xsec-15,,832145.349,9997442.357,3780.929,stream,-78.01645173,-0.02310822,3780.929,0.010,0.010,0.015,0.015,2.164,m,FIX,2023-06-18 12:37:57.0 UTC-05:00,2023-06-18 12:38:07.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.671,WGS 84 / UTM zone 17S
xsec-16,,832145.472,9997442.299,3781.008,stream,-78.01645062,-0.02310875,3781.008,0.012,0.012,0.025,0.017,2.164,m,FIX,2023-06-18 12:38:36.0 UTC-05:00,2023-06-18 12:38:46.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.678,WGS 84 / UTM zone 17S
xsec-17,,832145.627,9997442.232,3780.960,stream,-78.01644924,-0.02310935,3780.960,0.010,0.011,0.014,0.015,2.164,m,FIX,2023-06-18 12:39:10.0 UTC-05:00,2023-06-18 12:39:20.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.710,WGS 84 / UTM zone 17S
xsec-18,,832145.783,9997442.197,3780.993,stream,-78.01644783,-0.02310967,3780.993,0.014,0.010,0.011,0.017,2.164,m,FIX,2023-06-18 12:39:40.0 UTC-05:00,2023-06-18 12:39:50.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.779,WGS 84 / UTM zone 17S
xsec-19,,832145.936,9997442.136,3780.845,stream,-78.01644646,-0.02311022,3780.845,0.012,0.012,0.011,0.017,2.164,m,FIX,2023-06-18 12:40:10.0 UTC-05:00,2023-06-18 12:40:20.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.813,WGS 84 / UTM zone 17S
xsec-20,,832146.029,9997442.109,3780.828,stream,-78.01644563,-0.02311046,3780.828,0.010,0.012,0.011,0.016,2.164,m,FIX,2023-06-18 12:40:41.0 UTC-05:00,2023-06-18 12:40:51.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.849,WGS 84 / UTM zone 17S
xsec-21,,832146.162,9997441.928,3780.839,stream,-78.01644443,-0.02311210,3780.839,0.014,0.017,0.013,0.022,2.164,m,FIX,2023-06-18 12:41:14.0 UTC-05:00,2023-06-18 12:41:24.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.771,WGS 84 / UTM zone 17S
xsec-22,,832146.323,9997441.987,3780.824,stream,-78.01644299,-0.02311156,3780.824,0.013,0.011,0.013,0.016,2.164,m,FIX,2023-06-18 12:42:29.0 UTC-05:00,2023-06-18 12:42:39.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.911,WGS 84 / UTM zone 17S
xsec-23,,832146.462,9997441.966,3780.800,stream,-78.01644174,-0.02311175,3780.800,0.010,0.011,0.013,0.015,2.164,m,FIX,2023-06-18 12:42:55.0 UTC-05:00,2023-06-18 12:43:05.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.977,WGS 84 / UTM zone 17S
xsec-24,,832146.615,9997441.926,3780.722,stream,-78.01644037,-0.02311211,3780.722,0.011,0.012,0.014,0.016,2.164,m,FIX,2023-06-18 12:43:23.0 UTC-05:00,2023-06-18 12:43:33.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.034,WGS 84 / UTM zone 17S
xsec-25,,832146.752,9997441.957,3780.854,stream,-78.01643914,-0.02311184,3780.854,0.013,0.010,0.022,0.017,2.164,m,FIX,2023-06-18 12:43:55.0 UTC-05:00,2023-06-18 12:44:05.0 UTC-05:00,11,1.6,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.129,WGS 84 / UTM zone 17S
xsec-26,,832146.925,9997441.988,3780.772,stream,-78.01643759,-0.02311156,3780.772,0.014,0.014,0.017,0.020,2.164,m,FIX,2023-06-18 12:44:19.0 UTC-05:00,2023-06-18 12:44:29.0 UTC-05:00,11,1.5,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.249,WGS 84 / UTM zone 17S
xsec-27,,832147.162,9997441.945,3780.791,stream,-78.01643546,-0.02311194,3780.791,0.011,0.016,0.018,0.019,2.164,m,FIX,2023-06-18 12:44:59.0 UTC-05:00,2023-06-18 12:45:09.0 UTC-05:00,11,1.5,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.383,WGS 84 / UTM zone 17S
xsec-28,,832147.216,9997441.894,3780.804,stream,-78.01643498,-0.02311240,3780.804,0.012,0.013,0.018,0.018,2.164,m,FIX,2023-06-18 12:45:27.0 UTC-05:00,2023-06-18 12:45:37.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.348,WGS 84 / UTM zone 17S
xsec-29,,832147.329,9997441.574,3780.813,stream,-78.01643396,-0.02311530,3780.813,0.012,0.011,0.017,0.016,2.164,m,FIX,2023-06-18 12:46:12.0 UTC-05:00,2023-06-18 12:46:22.0 UTC-05:00,11,2.0,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.197,WGS 84 / UTM zone 17S
xsec-30,,832147.454,9997441.529,3780.763,stream,-78.01643284,-0.02311570,3780.763,0.011,0.011,0.019,0.015,2.164,m,FIX,2023-06-18 12:46:42.0 UTC-05:00,2023-06-18 12:46:52.0 UTC-05:00,11,1.5,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.233,WGS 84 / UTM zone 17S
xsec-31,,832147.604,9997441.550,3781.018,stream,-78.01643149,-0.02311551,3781.018,0.011,0.010,0.015,0.015,2.164,m,FIX,2023-06-18 12:47:16.0 UTC-05:00,2023-06-18 12:47:26.0 UTC-05:00,11,1.6,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.336,WGS 84 / UTM zone 17S
xsec-32,,832147.734,9997441.548,3781.085,stream,-78.01643033,-0.02311553,3781.085,0.011,0.010,0.011,0.015,2.164,m,FIX,2023-06-18 12:47:56.0 UTC-05:00,2023-06-18 12:48:06.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.408,WGS 84 / UTM zone 17S
xsec-33,,832147.831,9997441.574,3781.038,left edge,-78.01642946,-0.02311529,3781.038,0.011,0.013,0.014,0.017,2.164,m,FIX,2023-06-18 12:48:31.0 UTC-05:00,2023-06-18 12:48:41.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.485,WGS 84 / UTM zone 17S
xsec-34,,832147.813,9997441.581,3781.227,left water surface,-78.01642961,-0.02311523,3781.227,0.010,0.011,0.013,0.015,2.164,m,FIX,2023-06-18 12:49:21.0 UTC-05:00,2023-06-18 12:49:31.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.480,WGS 84 / UTM zone 17S
xsec-35,,832147.904,9997441.484,3781.667,left floodplain,-78.01642880,-0.02311611,3781.667,0.015,0.011,0.013,0.018,2.164,m,FIX,2023-06-18 12:50:29.0 UTC-05:00,2023-06-18 12:50:39.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.456,WGS 84 / UTM zone 17S
xsec-36,,832148.150,9997441.373,3781.840,left floodplain,-78.01642659,-0.02311711,3781.840,0.012,0.011,0.010,0.016,2.164,m,FIX,2023-06-18 12:50:59.0 UTC-05:00,2023-06-18 12:51:09.0 UTC-05:00,11,1.5,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.538,WGS 84 / UTM zone 17S
xsec-37,,832148.320,9997441.367,3782.064,left floodplain,-78.01642506,-0.02311717,3782.064,0.012,0.015,0.012,0.019,2.164,m,FIX,2023-06-18 12:51:54.0 UTC-05:00,2023-06-18 12:52:04.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.633,WGS 84 / UTM zone 17S
xsec-38,,832148.615,9997441.286,3782.190,left floodplain,-78.01642242,-0.02311789,3782.190,0.013,0.012,0.012,0.018,2.164,m,FIX,2023-06-18 12:52:25.0 UTC-05:00,2023-06-18 12:52:35.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.780,WGS 84 / UTM zone 17S
xsec-39,,832148.783,9997441.190,3782.362,left floodplain,-78.01642091,-0.02311876,3782.362,0.013,0.011,0.014,0.017,2.164,m,FIX,2023-06-18 12:52:57.0 UTC-05:00,2023-06-18 12:53:07.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.836,WGS 84 / UTM zone 17S
xsec-40,,832149.042,9997441.089,3782.511,left floodplain,-78.01641859,-0.02311968,3782.511,0.013,0.012,0.011,0.018,2.164,m,FIX,2023-06-18 12:53:21.0 UTC-05:00,2023-06-18 12:53:31.0 UTC-05:00,11,1.6,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,17.942,WGS 84 / UTM zone 17S
xsec-41,,832149.221,9997441.006,3782.354,left monument,-78.01641698,-0.02312043,3782.354,0.010,0.010,0.012,0.014,2.164,m,FIX,2023-06-18 12:53:56.0 UTC-05:00,2023-06-18 12:54:06.0 UTC-05:00,11,1.5,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,18.005,WGS 84 / UTM zone 17S
